Rank,District_L15,Percent_L15,District_1530,Percent_1530,District_3045,Percent_3045,District_4560,Percent_4560,District_6075,Percent_6075,District_75100,Percent_75100,District_100150,Percent_100150,District_150200,Percent_150200,District_200P,Percent_200P
1,63,24%,63,30%,35,24%,2,21%,2,20%,42,23%,27,30%,51,12%,49,12%
2,26,22%,4,27%,23,23%,75,20%,42,18%,52,23%,50,26%,49,11%,27,11%
3,24,20%,26,23%,72,23%,38,20%,13,17%,41,22%,49,26%,50,11%,28,10%
4,9,17%,23,22%,70,21%,21,20%,6,17%,56,22%,41,26%,27,10%,54,9%
5,25,16%,64,22%,60,21%,71,19%,52,17%,12,21%,52,23%,18,8%,51,9%
6,4,16%,33,21%,26,20%,62,18%,66,16%,2,20%,15,23%,28,8%,46,9%
7,35,16%,35,20%,58,20%,66,18%,67,16%,15,20%,51,23%,36,8%,50,8%
8,64,16%,72,20%,73,20%,22,18%,39,16%,30,20%,32,23%,48,7%,36,8%
9,73,15%,25,19%,62,20%,45,18%,5,16%,29,19%,18,23%,46,7%,53,7%
10,69,15%,3,19%,63,20%,7,18%,12,16%,6,19%,42,21%,20,7%,32,7%
11,72,14%,24,18%,3,19%,61,17%,38,16%,38,19%,36,20%,15,6%,18,6%
12,10,13%,73,18%,64,19%,5,17%,14,15%,50,19%,56,19%,42,6%,48,6%
13,33,12%,9,18%,31,19%,6,17%,65,15%,43,19%,20,18%,17,6%,24,6%
14,58,12%,10,18%,71,19%,12,17%,22,15%,13,18%,53,18%,54,6%,19,5%
15,34,12%,69,18%,4,19%,74,17%,1,15%,32,18%,17,18%,41,6%,17,4%
16,75,12%,58,18%,9,19%,30,17%,43,15%,18,18%,28,18%,32,6%,20,4%
17,23,12%,75,17%,59,19%,25,17%,70,14%,14,18%,46,17%,53,6%,57,4%
18,70,12%,70,17%,8,19%,13,17%,21,14%,39,18%,48,17%,19,5%,37,4%
19,61,11%,60,17%,44,19%,8,17%,30,14%,7,18%,19,16%,57,5%,41,4%
20,8,11%,62,17%,75,19%,43,17%,7,14%,22,18%,47,16%,37,5%,10,3%
21,40,10%,71,17%,22,18%,72,17%,11,14%,67,18%,6,16%,55,5%,55,3%
22,37,10%,31,16%,57,18%,11,17%,20,14%,21,18%,16,16%,59,4%,45,3%
23,60,10%,34,16%,38,18%,67,17%,15,14%,68,17%,54,16%,29,4%,74,3%
24,71,10%,44,16%,1,18%,39,17%,57,14%,57,17%,29,15%,16,4%,60,3%
25,44,9%,61,15%,10,18%,33,16%,44,14%,66,17%,12,15%,7,4%,16,3%
26,68,9%,48,15%,34,18%,40,16%,71,14%,31,17%,13,15%,10,4%,62,3%
27,14,9%,8,15%,65,18%,1,16%,31,14%,1,17%,11,15%,52,4%,56,3%
28,55,9%,74,15%,40,18%,59,16%,74,14%,5,16%,43,15%,65,4%,65,3%
29,59,9%,37,15%,24,18%,3,16%,55,13%,53,16%,55,14%,56,4%,59,3%
30,31,8%,68,14%,61,17%,14,16%,45,13%,54,16%,57,14%,66,4%,15,3%
31,21,8%,40,14%,69,17%,58,16%,40,13%,20,16%,45,14%,45,4%,40,2%
32,47,8%,1,13%,74,17%,64,16%,41,13%,60,15%,66,14%,24,4%,5,2%
33,17,8%,39,13%,33,17%,55,16%,56,13%,17,15%,39,14%,11,3%,11,2%
34,1,8%,5,13%,47,16%,23,16%,17,13%,51,15%,68,13%,40,3%,52,2%
35,28,8%,59,13%,25,16%,29,15%,16,13%,16,15%,7,13%,5,3%,7,2%
36,19,8%,65,13%,30,16%,70,15%,19,13%,27,15%,59,13%,47,3%,42,2%
37,48,8%,54,13%,67,16%,65,15%,47,13%,47,15%,65,13%,12,3%,6,2%
38,53,8%,67,13%,5,16%,16,15%,61,13%,65,15%,2,13%,13,3%,47,2%
39,62,7%,29,13%,45,16%,47,15%,34,12%,46,15%,21,13%,74,3%,68,2%
40,74,7%,14,12%,66,16%,60,15%,32,12%,49,15%,37,12%,39,3%,4,2%
41,11,7%,22,12%,11,16%,35,15%,3,12%,36,14%,30,12%,62,3%,66,2%
42,16,7%,45,12%,14,16%,37,15%,33,12%,11,14%,22,12%,2,3%,3,2%
43,46,7%,7,12%,16,16%,44,15%,48,12%,74,14%,44,12%,38,3%,8,2%
44,30,6%,36,12%,68,15%,19,15%,68,12%,62,14%,67,12%,6,3%,2,2%
45,43,6%,11,12%,29,15%,34,14%,18,12%,55,14%,34,12%,43,3%,75,2%
46,45,6%,47,12%,19,15%,69,14%,8,12%,37,14%,3,11%,8,2%,34,2%
47,57,6%,43,11%,55,15%,52,14%,59,12%,45,14%,38,11%,68,2%,67,2%
48,3,6%,16,11%,37,15%,9,14%,58,11%,19,14%,14,11%,3,2%,29,1%
49,20,6%,55,11%,21,14%,31,14%,29,11%,44,13%,61,11%,23,2%,58,1%
50,29,6%,30,11%,39,14%,73,14%,54,11%,28,13%,40,11%,61,2%,61,1%
51,36,6%,13,11%,43,14%,68,14%,10,11%,69,13%,60,10%,75,2%,1,1%
52,5,6%,38,11%,12,14%,20,14%,62,11%,34,13%,31,10%,60,2%,21,1%
53,67,5%,53,10%,7,14%,46,14%,69,11%,3,13%,8,10%,1,2%,71,1%
54,13,5%,28,10%,20,13%,17,14%,25,11%,48,13%,74,10%,30,2%,43,1%
55,7,5%,12,10%,17,13%,54,13%,37,11%,40,13%,71,10%,21,2%,73,1%
56,54,5%,21,10%,46,13%,53,13%,9,10%,8,13%,1,10%,14,2%,63,1%
57,6,5%,32,10%,53,13%,10,13%,49,10%,61,12%,5,10%,9,2%,25,1%
58,56,5%,57,10%,13,13%,15,13%,64,10%,73,12%,25,10%,69,2%,69,1%
59,22,5%,6,10%,48,13%,56,13%,73,10%,59,12%,10,9%,25,2%,30,1%
60,65,5%,56,10%,56,13%,18,12%,50,10%,9,11%,58,9%,67,2%,44,1%
