"District","Representative","County","hw_hour","hw_year","%district<30K/yr","estimate"
1,"Sandall, Scott D. ","Box Elder",13.17,27393.6,21,"over"
1,"Sandall, Scott D. ","Cache",13.1,27248,21,"over"
2,"Moss, Jefferson ","Utah",15.73,32718.4,9,"under"
3,"Potter, Val K. ","Cache",13.1,27248,25,"over"
4,"Redd, Edward H. ","Cache",13.1,27248,43,"over"
5,"Webb, R. Curt ","Cache",13.1,27248,19,"over"
6,"Maloy, A. Cory ","Utah",15.73,32718.4,15,"under"
7,"Fawson, Justin L. ","Weber",16.52,34361.6,17,"under"
8,"Froerer, Gage ","Weber",16.52,34361.6,26,"under"
9,"Peterson, Jeremy A. ","Weber",16.52,34361.6,35,"under"
10,"Pitcher, Dixon M. ","Weber",16.52,34361.6,31,"under"
11,"Miles, Kelly B. ","Davis",16.52,34361.6,19,"under"
11,"Miles, Kelly B. ","Weber",16.52,34361.6,19,"under"
12,"Schultz, Mike ","Davis",16.52,34361.6,13,"under"
12,"Schultz, Mike ","Weber",16.52,34361.6,13,"under"
13,"Ray, Paul ","Davis",16.52,34361.6,16,"under"
14,"Lisonbee, Karianne ","Davis",16.52,34361.6,21,"under"
15,"Wilson, Brad R. ","Davis",16.52,34361.6,9,"under"
16,"Handy, Stephen G. ","Davis",16.52,34361.6,18,"under"
17,"Barlow, Stewart E. ","Davis",16.52,34361.6,17,"under"
18,"Hawkes, Timothy D. ","Davis",16.52,34361.6,10,"under"
19,"Ward, Raymond P. ","Davis",16.52,34361.6,17,"under"
20,"Edwards, Rebecca P. ","Davis",16.52,34361.6,14,"under"
21,"Sagers, Douglas V. ","Tooele",15.4,32032,18,"under"
22,"Duckworth, Susan ","Salt Lake",19.04,39603.2,17,"under"
23,"Hollins, Sandra ","Salt Lake",19.04,39603.2,34,"under"
24,"Chavez-Houck, Rebecca ","Salt Lake",19.04,39603.2,38,"under"
25,"Briscoe, Joel K. ","Salt Lake",19.04,39603.2,35,"under"
26,"Romero, Angela ","Salt Lake",19.04,39603.2,45,"under"
27,"Kennedy, Michael S. ","Utah",15.73,32718.4,9,"under"
28,"King, Brian S. ","Salt Lake",19.04,39603.2,18,"under"
28,"King, Brian S. ","Summit",19.87,41329.6,18,"under"
29,"Perry, Lee B. ","Box Elder",13.17,27393.6,19,"over"
29,"Perry, Lee B. ","Weber",16.52,34361.6,19,"under"
30,"Winder, Mike ","Salt Lake",19.04,39603.2,17,"under"
31,"Weight, Elizabeth ","Salt Lake",19.04,39603.2,24,"under"
32,"Christensen, LaVar ","Salt Lake",19.04,39603.2,14,"under"
33,"Hall, Craig ","Salt Lake",19.04,39603.2,33,"under"
34,"Kwan, Karen ","Salt Lake",19.04,39603.2,28,"under"
35,"Wheatley, Mark A. ","Salt Lake",19.04,39603.2,36,"under"
36,"Arent, Patrice M. ","Salt Lake",19.04,39603.2,18,"under"
37,"Moss, Carol Spackman ","Salt Lake",19.04,39603.2,25,"under"
38,"Hutchings, Eric K. ","Salt Lake",19.04,39603.2,15,"under"
39,"Dunnigan, James A. ","Salt Lake",19.04,39603.2,17,"under"
40,"Hemingway, Lynn N. ","Salt Lake",19.04,39603.2,24,"under"
41,"McCay, Daniel ","Salt Lake",19.04,39603.2,10,"under"
42,"Coleman, Kim F. ","Salt Lake",19.04,39603.2,9,"under"
43,"Acton, Cheryl K. ","Salt Lake",19.04,39603.2,17,"under"
44,"Cutler, Bruce R. ","Salt Lake",19.04,39603.2,25,"under"
45,"Eliason, Steve ","Salt Lake",19.04,39603.2,18,"under"
46,"Poulson, Marie H. ","Salt Lake",19.04,39603.2,16,"under"
47,"Ivory, Ken ","Salt Lake",19.04,39603.2,20,"under"
48,"Stratton, Keven J. ","Utah",15.73,32718.4,23,"under"
49,"Spendlove, Robert M. ","Salt Lake",19.04,39603.2,11,"under"
50,"Pulsipher, Susan ","Salt Lake",19.04,39603.2,10,"under"
51,"Hughes, Gregory H. ","Salt Lake",19.04,39603.2,11,"under"
52,"Knotwell, John ","Salt Lake",19.04,39603.2,7,"under"
53,"Wilde, Logan ","Daggett",15.88,33030.4,18,"under"
53,"Wilde, Logan ","Duchesne",14.54,30243.2,18,"under"
53,"Wilde, Logan ","Morgan",16.52,34361.6,18,"under"
53,"Wilde, Logan ","Rich",16.56,34444.8,18,"under"
53,"Wilde, Logan ","Summit",19.87,41329.6,18,"under"
54,"Quinn, Tim ","Summit",19.87,41329.6,18,"under"
54,"Quinn, Tim ","Wasatch",17.87,37169.6,18,"under"
55,"Chew, Scott H. ","Duchesne",14.54,30243.2,20,"under"
55,"Chew, Scott H. ","Uintah",16.15,33592,20,"under"
56,"Christofferson, Kay J. ","Utah",15.73,32718.4,15,"under"
57,"Greene, Brian M. ","Utah",15.73,32718.4,16,"under"
58,"Owens, Derrin R. ","Juab",15.73,32718.4,30,"under"
58,"Owens, Derrin R. ","Sanpete",12.5,26000,30,"over"
59,"Peterson, Val L. ","Utah",15.73,32718.4,22,"under"
60,"Daw, Brad M. ","Utah",15.73,32718.4,27,"under"
