District,Senator,County
1,"Escamilla, Luz (D)",Salt Lake
2,"Dabakis, Jim (D)",Salt Lake
3,"Davis, Gene (D)",Salt Lake
4,"Iwamoto, Jani (D)",Salt Lake
5,"Mayne, Karen (D)",Salt Lake
6,"Harper, Wayne A. (R)",Salt Lake
7,"Henderson, Deidre M. (R)",Utah
8,Vacant,Salt Lake
9,"Niederhauser, Wayne L. (R)",Salt Lake
10,"Fillmore, Lincoln (R)",Salt Lake
11,"Stephenson, Howard A. (R)",Salt Lake
11,"Stephenson, Howard A. (R)",Utah
12,"Thatcher, Daniel W. (R)",Salt Lake
12,"Thatcher, Daniel W. (R)",Tooele
13,"Anderegg, Jacob L. (R)",Salt Lake
13,"Anderegg, Jacob L. (R)",Utah
14,"Hemmert, Daniel (R)",Utah
15,"Dayton, Margaret (R)",Utah
16,"Bramble, Curtis S. (R)",Utah
16,"Bramble, Curtis S. (R)",Wasatch
17,"Knudson, Peter C. (R)",Box Elder
17,"Knudson, Peter C. (R)",Cache
17,"Knudson, Peter C. (R)",Tooele
18,"Millner, Ann (R)",Davis
18,"Millner, Ann (R)",Morgan
18,"Millner, Ann (R)",Weber
19,"Christensen, Allen M. (R)",Morgan
19,"Christensen, Allen M. (R)",Summit
19,"Christensen, Allen M. (R)",Weber
20,"Buxton, David G. (R)",Davis
20,"Buxton, David G. (R)",Weber
21,"Stevenson, Jerry W. (R)",Davis
22,"Adams, J. Stuart (R)",Davis
23,"Weiler, Todd (R)",Davis
23,"Weiler, Todd (R)",Salt Lake
24,"Okerlund, Ralph (R)",Beaver
24,"Okerlund, Ralph (R)",Garfield
24,"Okerlund, Ralph (R)",Juab
24,"Okerlund, Ralph (R)",Kane
24,"Okerlund, Ralph (R)",Millard
24,"Okerlund, Ralph (R)",Piute
24,"Okerlund, Ralph (R)",Sanpete
24,"Okerlund, Ralph (R)",Sevier
24,"Okerlund, Ralph (R)",Utah
24,"Okerlund, Ralph (R)",Wayne
25,"Hillyard, Lyle W. (R)",Cache
25,"Hillyard, Lyle W. (R)",Rich
26,"Van Tassell, Kevin T. (R)",Daggett
26,"Van Tassell, Kevin T. (R)",Duchesne
26,"Van Tassell, Kevin T. (R)",Summit
26,"Van Tassell, Kevin T. (R)",Uintah
26,"Van Tassell, Kevin T. (R)",Wasatch
27,"Hinkins, David P. (R)",Carbon
27,"Hinkins, David P. (R)",Emery
27,"Hinkins, David P. (R)",Grand
27,"Hinkins, David P. (R)",San Juan
27,"Hinkins, David P. (R)",Utah
27,"Hinkins, David P. (R)",Wasatch
28,"Vickers, Evan J. (R)",Beaver
28,"Vickers, Evan J. (R)",Iron
28,"Vickers, Evan J. (R)",Washington
29,"Ipson, Don L. (R)",Washington
